4039 0.92
2.6329 1.1998 0.0000
2.63359 1.1997 0.0000
2.63421 1.1993 0.0000
2.63491 1.1992 0.0000
2.63553 1.1987 0.0000
2.63623 1.1986 0.0000
2.63692 1.1984 0.0000
2.63755 1.1979 0.0000
2.63824 1.1975 0.0000
2.63894 1.1974 0.0000
2.63957 1.1970 0.0000
2.64026 1.1966 0.0000
2.64096 1.1964 0.0000
2.64159 1.1961 0.0000
2.64229 1.1959 0.0000
2.64299 1.1955 0.0000
2.64361 1.1950 0.0000
2.64431 1.1950 0.0000
2.64494 1.1946 0.0000
2.64564 1.1945 0.0000
2.64634 1.1943 0.0000
2.64697 1.1937 0.0000
2.64767 1.1934 0.0000
2.64838 1.1932 0.0000
2.64901 1.1926 0.0000
2.64971 1.1924 0.0000
2.65041 1.1920 0.0000
2.65104 1.1916 0.0000
2.65175 1.1914 0.0000
2.65245 1.1911 0.0000
2.65308 1.1908 0.0000
2.65379 1.1906 0.0000
2.65449 1.1903 0.0000
2.65513 1.1897 0.0000
2.65583 1.1895 0.0000
2.65647 1.1889 0.0000
2.65717 1.1886 0.0000
2.65788 1.1883 0.0000
2.65851 1.1877 0.0000
2.65922 1.1876 0.0000
2.65993 1.1874 0.0000
2.66057 1.1867 0.0000
2.66127 1.1867 0.0000
2.66198 1.1865 0.0000
2.66262 1.1857 0.0000
2.66333 1.1853 0.0000
2.66404 1.1851 0.0000
2.66468 1.1846 0.0000
2.66539 1.1844 0.0000
2.66603 1.1837 0.0000
2.66674 1.1836 0.0000
2.66745 1.1834 0.0000
2.66809 1.1828 0.0000
2.6688 1.1825 0.0000
2.66951 1.1821 0.0000
2.67016 1.1815 0.0000
2.67087 1.1814 0.0000
2.67158 1.1810 0.0000
2.67222 1.1803 0.0000
2.67294 1.1800 0.0000
2.67365 1.1797 0.0000
2.6743 1.1790 0.0000
2.67501 1.1787 0.0000
2.67566 1.1781 0.0000
2.67637 1.1778 0.0000
2.67709 1.1775 0.0000
2.67773 1.1768 0.0000
2.67845 1.1765 0.0000
2.67917 1.1762 0.0000
2.67982 1.1754 0.0000
2.68053 1.1751 0.0000
2.68125 1.1747 0.0000
2.6819 1.1738 0.0000
2.68262 1.1734 0.0000
2.68334 1.1731 0.0000
2.68399 1.1724 0.0000
2.68471 1.1719 0.0000
2.68543 1.1714 0.0000
2.68608 1.1708 0.0000
2.6868 1.1707 0.0000
2.68745 1.1699 0.0000
2.68817 1.1696 0.0000
2.68889 1.1693 0.0000
2.68955 1.1687 0.0000
2.69027 1.1686 0.0000
2.69099 1.1683 0.0000
2.69165 1.1677 0.0000
2.69237 1.1673 0.0000
2.69309 1.1671 0.0000
2.69375 1.1666 0.0000
2.69447 1.1662 0.0000
2.6952 1.1658 0.0000
2.69585 1.1650 0.0000
2.69658 1.1648 0.0000
2.69724 1.1639 0.0000
2.69796 1.1635 0.0000
2.69869 1.1632 0.0000
2.69935 1.1625 0.0000
2.70008 1.1620 0.0000
2.7008 1.1616 0.0000
2.70146 1.1610 0.0000
2.70219 1.1606 0.0000
2.70292 1.1603 0.0000
2.70358 1.1597 0.0000
2.70431 1.1592 0.0000
2.70504 1.1589 0.0000
2.7057 1.1583 0.0000
2.70643 1.1579 0.0000
2.70717 1.1575 0.0000
2.70783 1.1567 0.0000
2.70856 1.1564 0.0000
2.70922 1.1557 0.0000
2.70995 1.1552 0.0000
2.71069 1.1548 0.0000
2.71135 1.1542 0.0000
2.71209 1.1537 0.0000
2.71282 1.1532 0.0000
2.71348 1.1523 0.0000
2.71422 1.1518 0.0000
2.71496 1.1513 0.0000
2.71562 1.1504 0.0000
2.71636 1.1498 0.0000
2.7171 1.1492 0.0000
2.71776 1.1482 0.0000
2.7185 1.1477 0.0000
2.71916 1.1468 0.0000
2.7199 1.1463 0.0000
2.72064 1.1458 0.0000
2.72131 1.1449 0.0000
2.72205 1.1443 0.0000
2.72279 1.1437 0.0000
2.72346 1.1428 0.0000
2.7242 1.1422 0.0000
2.72494 1.1416 0.0000
2.72561 1.1407 0.0000
2.72636 1.1400 0.0000
2.7271 1.1394 0.0000
2.72777 1.1386 0.0000
2.72851 1.1379 0.0000
2.72918 1.1370 0.0000
2.72993 1.1363 0.0000
2.73067 1.1357 0.0000
2.73134 1.1348 0.0000
2.73209 1.1340 0.0000
2.73284 1.1333 0.0000
2.73351 1.1322 0.0000
2.73426 1.1315 0.0000
2.73501 1.1310 0.0000
2.73568 1.1301 0.0000
2.73643 1.1293 0.0000
2.73718 1.1285 0.0000
2.73785 1.1275 0.0000
2.7386 1.1267 0.0000
2.73935 1.1261 0.0000
2.74003 1.1253 0.0000
2.74078 1.1245 0.0000
2.74145 1.1237 0.0000
2.74221 1.1229 0.0000
2.74296 1.1220 0.0000
2.74363 1.1211 0.0000
2.74439 1.1202 6.5804e-05
2.74514 1.1194 0.00036240
2.74582 1.1186 0.00026798
2.74657 1.1177 0.00054216
2.74733 1.1167 0.00082207
2.74801 1.1161 0.0011420
2.74876 1.1151 0.0010233
2.74952 1.1140 0.0012860
2.7502 1.1133 0.0015945
2.75096 1.1123 0.0018620
2.75164 1.1117 0.0021918
2.75239 1.1107 0.0020614
2.75315 1.1095 0.0023112
2.75383 1.1087 0.0026162
2.75459 1.1078 0.0033054
2.75535 1.1068 0.0031757
2.75604 1.1061 0.0034971
2.7568 1.1050 0.0037613
2.75756 1.1039 0.0040197
2.75824 1.1034 0.0043664
2.759 1.1022 0.0042021
2.75976 1.1009 0.0048554
2.76045 1.1004 0.0047774
2.76121 1.0991 0.0054300
2.76197 1.0979 0.0056806
2.76266 1.0974 0.0060375
2.76342 1.0959 0.0062418
2.76411 1.0955 0.0065994
2.76488 1.0941 0.0068359
2.76564 1.0926 0.0070462
2.76633 1.0923 0.0078321
2.76709 1.0910 0.0080833
2.76786 1.0896 0.0083079
2.76855 1.0893 0.0086851
2.76932 1.0878 0.0088961
2.77008 1.0863 0.0095272
2.77077 1.0861 0.0099330
2.77154 1.0846 0.010150
2.77231 1.0829 0.010330
2.773 1.0827 0.011159
2.77377 1.0806 0.011282
2.77446 1.0805 0.012130
2.77523 1.0789 0.012335
2.776 1.0772 0.012950
2.7767 1.0771 0.013384
2.77747 1.0755 0.014016
2.77824 1.0737 0.014185
2.77894 1.0737 0.015074
2.77971 1.0720 0.015255
2.78048 1.0700 0.015836
2.78118 1.0702 0.016762
2.78195 1.0684 0.016937
2.78272 1.0663 0.017507
2.78342 1.0666 0.018448
2.7842 1.0648 0.019080
2.78497 1.0627 0.019211
2.78567 1.0630 0.020171
2.78645 1.0600 0.020612
2.78715 1.0605 0.021608
2.78792 1.0585 0.022214
2.7887 1.0563 0.022778
2.7894 1.0569 0.023812
2.79018 1.0549 0.024414
2.79096 1.0525 0.024971
2.79166 1.0533 0.026042
2.79244 1.0512 0.026637
2.79322 1.0487 0.027181
2.79392 1.0496 0.028286
2.7947 1.0473 0.028865
2.79548 1.0445 0.029375
2.79619 1.0458 0.031012
2.79697 1.0420 0.031359
2.79767 1.0433 0.032549
2.79846 1.0408 0.033110
2.79924 1.0379 0.034105
2.79994 1.0395 0.035349
2.80073 1.0369 0.035903
2.80151 1.0339 0.036891
2.80222 1.0356 0.038170
2.803 1.0329 0.039234
2.80379 1.0299 0.039744
2.8045 1.0317 0.041054
2.80529 1.0288 0.042090
2.80607 1.0256 0.043088
2.80678 1.0280 0.044504
2.80757 1.0229 0.045194
2.80828 1.0252 0.046628
2.80907 1.0221 0.047669
2.80986 1.0186 0.048643
2.81057 1.0214 0.050683
2.81136 1.0183 0.051229
2.81215 1.0145 0.052181
2.81286 1.0174 0.054265
2.81365 1.0142 0.055341
2.81444 1.0104 0.056325
2.81516 1.0138 0.058526
2.81595 1.0105 0.059069
2.81674 1.0063 0.060019
2.81746 1.0098 0.062261
2.81825 1.0063 0.063336
2.81905 1.0021 0.064311
2.81976 1.0061 0.066670
2.82056 0.99909 0.067192
2.82127 1.0032 0.069583
2.82207 0.99949 0.071249
2.82287 0.99516 0.072258
2.82358 0.99982 0.074769
2.82438 0.99598 0.075885
2.82518 0.99129 0.076869
2.8259 0.99609 0.079432
2.8267 0.99209 0.081144
2.82749 0.98736 0.082163
2.82821 0.99282 0.084862
2.82901 0.98852 0.085981
2.82981 0.98351 0.087595
2.83054 0.98978 0.090451
2.83134 0.98101 0.090890
2.83206 0.98720 0.093751
2.83286 0.98280 0.095541
2.83366 0.97756 0.096595
2.83439 0.98413 0.099542
2.83519 0.97958 0.10137
2.83599 0.97420 0.10245
2.83672 0.98136 0.10551
2.83752 0.97648 0.10671
2.83833 0.97067 0.10841
2.83905 0.97848 0.11160
2.83986 0.97343 0.11282
2.84067 0.96743 0.11457
2.84139 0.97578 0.11785
2.8422 0.97059 0.11911
2.84301 0.96445 0.12090
2.84374 0.97372 0.12434
2.84455 0.96238 0.12474
2.84527 0.97154 0.12817
2.84608 0.96619 0.13019
2.84689 0.95982 0.13138
2.84762 0.96948 0.13490
2.84843 0.96373 0.13623
2.84925 0.95694 0.13813
2.84998 0.96736 0.14176
2.85079 0.96156 0.14315
2.8516 0.95439 0.14436
2.85233 0.96520 0.14877
2.85315 0.95942 0.15023
2.85396 0.95232 0.15153
2.8547 0.96413 0.15535
2.85551 0.95032 0.15582
2.85625 0.96214 0.15964
2.85706 0.95578 0.16188
2.85788 0.94838 0.16327
2.85861 0.96083 0.16716
2.85943 0.95421 0.16870
2.86025 0.94627 0.17009
2.86098 0.95900 0.17402
2.8618 0.95215 0.17638
2.86262 0.94421 0.17786
2.86336 0.95785 0.18188
2.86418 0.95074 0.18351
2.865 0.94218 0.18500
2.86574 0.95690 0.18993
2.86656 0.94069 0.19064
2.8673 0.95576 0.19480
2.86812 0.94816 0.19652
2.86895 0.93941 0.19897
2.86969 0.95508 0.20317
2.87051 0.94743 0.20498
2.87134 0.93838 0.20667
2.87208 0.95433 0.21086
2.8729 0.94636 0.21358
2.87373 0.93734 0.21538
2.87447 0.95426 0.21963
2.8753 0.94606 0.22158
2.87613 0.93631 0.22341
2.87687 0.95399 0.22857
2.8777 0.94582 0.23063
2.87853 0.93630 0.23259
2.87927 0.95532 0.23693
2.8801 0.93549 0.23815
2.88085 0.95474 0.24248
2.88168 0.94574 0.24463
2.88251 0.93562 0.24766
2.88326 0.95570 0.25200
2.88409 0.94676 0.25427
2.88492 0.93654 0.25649
2.88567 0.95714 0.26079
2.8865 0.94783 0.26315
2.88734 0.93738 0.26547
2.88809 0.95882 0.26976
2.88892 0.94928 0.27222
2.88976 0.93870 0.27465
2.89051 0.96173 0.27896
2.89134 0.93923 0.28084
2.8921 0.96257 0.28413
2.89293 0.95234 0.28673
2.89377 0.94122 0.28933
2.89452 0.96485 0.29355
2.89536 0.95484 0.29628
2.8962 0.94358 0.29797
2.89696 0.96767 0.30212
2.89779 0.95712 0.30495
2.89863 0.94589 0.30779
2.89939 0.97117 0.31086
2.90023 0.96016 0.31378
2.90107 0.94872 0.31673
2.90183 0.97486 0.31973
2.90267 0.96377 0.32276
2.90352 0.95206 0.32474
2.90428 0.97953 0.32875
2.90512 0.95322 0.33048
2.90588 0.98129 0.33444
2.90672 0.97004 0.33657
2.90757 0.95771 0.33870
2.90833 0.98561 0.34257
2.90918 0.97384 0.34478
2.91002 0.96153 0.34814
2.91078 0.99067 0.35080
2.91163 0.97860 0.35310
2.91248 0.96575 0.35543
2.91324 0.99530 0.35914
2.91409 0.98334 0.36154
2.91494 0.97088 0.36396
2.91571 1.0018 0.36643
2.91656 0.97276 0.36892
2.91732 1.0042 0.37132
2.91817 0.99147 0.37386
2.91903 0.97849 0.37643
2.91979 1.0097 0.37874
2.92065 0.99660 0.38136
2.9215 0.98337 0.38402
2.92227 1.0153 0.38622
2.92312 1.0020 0.38894
2.92398 0.98867 0.39170
2.92475 1.0214 0.39379
2.9256 1.0083 0.39659
2.92646 0.99481 0.39820
2.92723 1.0277 0.40020
2.92809 1.0142 0.40308
2.92894 1.0006 0.40475
2.92972 1.0349 0.40664
2.93057 1.0031 0.41002
2.93135 1.0380 0.41058
2.93221 1.0240 0.41360
2.93307 1.0099 0.41539
2.93384 1.0442 0.41713
2.9347 1.0300 0.42023
2.93556 1.0159 0.42209
2.93634 1.0512 0.42372
2.9372 1.0365 0.42562
2.93807 1.0223 0.42883
2.93884 1.0582 0.42907
2.93971 1.0430 0.43104
2.94057 1.0286 0.43433
2.94135 1.0655 0.43444
2.94221 1.0315 0.43849
2.94299 1.0692 0.43852
2.94386 1.0541 0.44058
2.94473 1.0389 0.44267
2.94551 1.0759 0.44398
2.94638 1.0606 0.44610
2.94724 1.0457 0.44823
